"Liu Measurement SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR w/wallfunc (X = 5D, Y = 2.3D)"			"Liu Experiment SPL-3.5NPR (X = 5D, Y = 2.3D)"			"Liu LES SPL-3.5NPR w/slipwall (X = 5D, Y = 2.3D)"	
			22750	112.83		0.594288106	127.0078246		4.372341114	110.1596883		0.902119578	121.1524866
			23463	112.359		0.60143424	120.5435175		4.488800545	106.5658236		0.902326603	118.894416
			25346	111.889		0.617591763	123.2741531		4.564702902	108.282616		0.903376655	117.1609941
			26139	110.001		0.635765611	120.7180225		4.67485424	110.3534556		0.923043589	121.0164653
			28237	109.532		0.651822158	119.5560125		4.843053686	106.2147098		0.927569571	118.0532162
			28678	110.477		0.657837516	122.3439745		4.888994996	108.442199		0.94883345	116.5543701
			30035	109.062		0.684531251	123.3582153		4.919082723	105.5175358		0.955398494	121.0144502
			30504	109.535		0.687269085	121.1791238		5.064832761	110.5465201		0.96971328	118.1379471
			30974	107.174		0.688786371	119.3890908		5.215972664	107.1841653		1.000154679	120.4730518
			31944	106.23		0.691102765	118.2140108		5.21878058	109.0586879		1.039786293	118.2077123
			32947	106.704		0.71946945	117.7260957		5.241556614	110.0057935		1.059305436	120.6043712
			35045	105.761		0.731235314	120.4434606		5.270282189	105.6644403		1.096392063	120.6358515
			36705	104.819		0.733149439	118.8813928		5.562793435	108.7073094		1.109832171	116.7983893
			37279	105.764		0.76933713	118.1212645		5.592877962	107.2482501		1.167607711	119.6559165
			39044	104.349		0.776914884	118.8515452		5.79823357	105.8518445		1.20848845	119.5192235
			40892	102.933		0.778256193	120.6984221		6.060043061	107.2844571		1.209069025	117.1991276
			42176	103.407		0.804868682	117.9196849		6.06313331	105.0111045		1.272533502	119.3815229
			42829	101.991		0.819900067	123.0578043		6.429145517	106.7174966		1.296300838	116.8996687
			44177	103.409		0.824449594	121.3068894		6.437665034	108.4377891		1.317138872	119.3795078
			46988	101.994		0.827863332	119.4558183		6.538850084	104.9139054		1.355554485	119.5125064
			49980	101.052		0.872684057	118.8118812		6.810796215	105.1235928		1.389935047	116.8728675
			51550	101.525		0.875738129	120.5322092		6.854521769	107.1681866		1.403069941	119.5104913
			53988	99.638		0.930450066	118.9208358		6.857473608	108.6678046		1.426345173	116.8159262
			55678	98.222		0.934682559	120.4972354					1.468854344	119.1037708
			57426	98.696		0.987430371	121.2010582					1.496707736	115.9672378
			59223	97.28		0.987844135	119.8000838					1.529096161	119.1014198
			62026	95.865		0.988404716	117.9029308					1.560545434	115.2301211
			65970	94.922		1.045734746	117.8333748					1.594504162	115.9786835
			65980	94.922		1.051391403	119.9736756					1.617668943	118.9771264
			71270	94.453		1.081965451	117.0230511					1.651726026	114.6133092
			72380	94.926		1.114618932	118.1145174					1.734459591	118.8367178
			74640	92.566		1.116926944	119.5740174					1.742795849	115.2918261
			76980	92.094		1.165273097	120.2770822					1.795040871	117.6105593
			79400	92.568		1.174573292	117.1486637					1.80391229	114.7819881
						1.183400853	118.9159334					1.847609264	118.1475915
						1.243533407	117.3544837					1.890148753	114.5599789
						1.274971135	120.9830278					1.970688251	118.1816761
						1.294906386	116.0104174					1.977263815	114.3725808
						1.294956116	119.2327194					2.001648986	117.0654665
						1.326684865	117.2661134					2.049773093	113.5100309
						1.367796798	120.5202817					2.129848364	113.2907917
						1.380697354	118.9122945					2.134582557	117.0522709
						1.383243737	116.4736285					2.20983645	112.2104866
						1.43110538	117.6042707					2.257992699	116.7890578
						1.458290228	118.5004929					2.323040652	115.7099556
						1.482436841	116.0769789					2.360937969	112.0726454
						1.535271766	119.5932732					2.377197639	115.9779679
						1.542341664	117.6321515					2.452220156	110.2957623
						1.569846331	115.4850217					2.453068141	111.500001
						1.631387546	117.5732823					2.456190613	115.9306908
						1.656954479	115.8327029					2.572802615	111.3942183
						1.701989058	114.4943546					2.617761951	115.1316991
						1.717097013	113.8792987					2.69161745	110.8129169
						1.74125423	117.4215606					2.8065731	114.7640756
						1.808790932	115.0605611					2.835201685	109.6226595
						1.840162376	116.9579048					2.938085186	113.8106953
						1.917129073	113.9638019					2.976920323	109.4528008
						1.921600042	115.4816928					3.02307581	113.1356267
						1.983950787	116.6666921					3.072274472	109.3636387
						2.034241126	114.8624742					3.201865377	113.266946
						2.056719711	113.4815978					3.238597154	112.9969185
						2.10464223	111.8484922					3.240353938	109.2115338
						2.161540409	114.7883148					3.351469785	112.321514
						2.192059663	113.3770446					3.444820198	108.0101428
						2.233111482	111.9623424					3.493741012	108.2641725
						2.319237567	113.8585772					3.498564696	113.0697667
						2.367229221	112.3809838					3.56943188	111.7791081
						2.380291979	110.7322233					3.714674993	110.6993342
						2.463229331	113.4730565					3.723600169	107.499263
						2.514478558	111.6257615					3.888691053	110.1579358
						2.628703843	110.4959756					3.99269293	107.5860693
						2.667658932	112.5216444					4.118037524	109.7505437
						2.78291403	110.8496762					4.275921083	106.2414705
						2.816461305	109.3122204					4.386701198	109.8815271
						2.835143884	112.3335265					4.435358528	105.3395433
						2.838858079	107.9554812					4.461368428	108.6684187
						2.974483523	111.0521807					4.643623331	108.1273562
						2.985574767	109.3762097					4.689809062	105.281748
						3.156928732	108.8375342					4.833136788	107.4516159
						3.160447715	110.4971193					4.885181222	104.7573867
						3.349248834	107.9363012					4.982132168	103.8653242
						3.364513485	109.4835138					5.029606608	106.237164
						3.435214087	106.9551895					5.079407745	102.5050124
						3.537241158	109.6032941					5.20449758	105.2924038
						3.574233854	108.319674					5.347550899	104.3002769
						3.586685308	105.9978569					5.40949558	102.4786079
						3.744465042	107.2328237					5.422444336	100.6834405
